Symbol,Name,Industry,Rank,Mom,Pe,Pb,Div,Ps
CMCSA,Comcast Corp,Consumer Discretionary,56.5,13.9,18.3,3.16549,1.67821,2.11876
CME,CME Group Inc,Financials,23.9,80.6,34.4,2.4306,1.76541,13.84506
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary,20.1,20.2,59.8,6.20728,,1.97752
CMI,Cummins Inc.,Industrials,69.9,42.8,16.7,3.6293,2.58065,1.43184
CMO,Capstead Mortgage Corp,Financials,72,15.9,15.2,0.85253,8.37927,3.97371
CMP,Compass Minerals International Inc.,Materials,62.1,39.9,16.3,3.15432,4.12903,1.74752
CMRE,Costamare Inc,Industrials,95.6,12.7,16.8,0.50449,6.95652,1.34582
CMS,CMS Energy Corp,Utilities,34.4,34.9,25.8,3.09853,2.66533,2.17254
CNC,Centene Corp,Health Care,84.5,72.2,20.8,2.6532,,0.37196
CNHI,CNH Industrial N.V.,Industrials,53.8,70.7,40.1,3.98557,0.92451,0.70734
CNI,Canadian National Railway Co,Industrials,24.3,20.4,15.4,4.82913,1.64472,5.95667
CNK,Cinemark Holdings Inc,Consumer Discretionary,72.6,53.3,17,3.13893,3.21241,1.42836
CNO,CNO Financial Group Inc,Financials,99.1,66.2,9,0.86635,1.428,1.0204
CNP,CenterPoint Energy Inc.,Utilities,52.7,31.2,21.4,3.57525,3.56548,1.42785
CNQ,Canadian Natural Resources Ltd,Energy,60.5,58,15.9,1.64667,2.52073,3.42768
CO,China Cord Blood Corp,Health Care,4.9,5.3,32.4,2.78547,,7.89178
COF,Capital One Financial Corp.,Financials,96.4,73.9,12.9,0.8886,1.73913,1.51469
COHR,Coherent Inc,Information Technology,9.3,89.2,33.6,6.18197,,4.16739
COL,Rockwell Collins Inc.,Industrials,20.9,30.2,27.8,3.56666,0.99766,2.84761
COLB,Columbia Banking System Inc,Financials,56.5,88.4,20.8,2.0258,1.90889,6.00961
COMM,CommScope Holding Co Inc,Information Technology,34.9,54.9,36.4,4.42756,,1.50202
COO,Cooper Companies Inc. (The),Health Care,5.4,20.3,34.3,3.8166,0.02488,5.62425
COR,CoreSite Realty Corp,Real Estate,23.8,19.2,61.7,13.29291,3.17237,8.30698
CORT,Corcept Therapeutics Inc,Health Care,1.3,51.5,61.9,23.71476,,15.66987
COST,Costco Wholesale Corp,Consumer Staples,48.9,78.1,30.3,7.48131,1.08442,0.62686
COTV,Cotiviti Holdings Inc,Health Care,10.5,12.3,33,2.92824,,4.47767
CP,Canadian Pacific Railway Ltd,Industrials,32.1,65.2,14.4,5.70665,0.99836,5.18601
CPB,Campbell Soup Co,Consumer Staples,61.9,48.2,17.3,8.78585,2.83976,1.90159
CPE,Callon Petroleum Co/DE,Energy,42.6,47.8,26.1,1.21569,,7.00764
CPRT,Copart Inc,Industrials,12.4,94.1,33.6,8.39784,,6.53688
CPT,Camden Property Trust,Real Estate,42.3,33.2,55.6,2.76966,3.28659,9.98366
CR,Crane Co.,Industrials,37.9,72.6,37.3,3.67207,1.54621,1.83957
CREG,China Recycling Energy Corp,Industrials,81.6,100,292,0.12729,,3.35747
CRH,CRH PLC,Materials,39.5,25.5,20.6,1.88628,2.09891,
CRI,Carter's Inc.,Consumer Discretionary,64.4,89.2,20.9,6.65372,1.36632,1.55852
CRL,Charles River Laboratories International Inc,Health Care,15.9,19.5,25.3,4.82731,,2.68003
CRM,salesforce.com Inc,Information Technology,1.7,55.7,10369,8.53406,,7.5185
CRNT,Ceragon Networks Ltd,Information Technology,71.5,13.6,9.3,1.17707,,0.45245
CRS,Carpenter Technology Corp,Materials,55.5,85.8,30.4,1.87934,1.45661,1.2238
CRTO,Criteo SA,Information Technology,40.4,0.9,28,2.74383,,0.98812
CRUS,Cirrus Logic Inc.,Information Technology,61.4,18.4,12.9,2.93092,,2.21347
CRZO,Carrizo Oil & Gas Inc,Energy,70.6,97.6,14.3,4.05097,,2.09114
CSCO,Cisco Systems Inc,Information Technology,77.1,74.4,19.4,2.81727,3.10992,3.89067
CSIQ,Canadian Solar Inc,Information Technology,59.8,70.4,42.9,1.07625,,0.35227
CSL,Carlisle Companies Inc,Industrials,60.1,84.6,22.4,2.91462,1.28729,1.86167
CSRA,CSRA Inc,Information Technology,56.1,12.8,15,10.61965,1.38265,0.94935
CSX,CSX Corp,Industrials,21.2,61,28.8,4.57656,1.43498,4.40183
CTAS,Cintas Corp,Industrials,18.8,76.2,36,6.5151,1.02896,2.92884
CTB,Cooper Tire & Rubber Co,Consumer Discretionary,83.9,55.9,9.4,1.6132,1.14286,0.66901
CTL,CenturyLink Inc,Telecommunication Services,82,2,24.5,0.61878,14.80466,0.48162
CTLT,Catalent Inc,Health Care,7.6,20.6,44.8,5.08832,,2.31925
CTRE,CareTrust REIT Inc,Real Estate,49.2,17,38.1,2.26964,4.06147,10.51713
CTRL,Control4 Corp,Information Technology,11.4,95,60.1,5.2123,,3.49069
CTRP,Ctrip.com International Ltd,Consumer Discretionary,15.3,10.1,72.6,1.92526,,6.49739
CTSH,Cognizant Technology Solutions Corp,Information Technology,27.2,33.4,22.2,3.88425,0.83011,2.97374
CTXS,Citrix Systems Inc.,Information Technology,24.3,63.5,27.4,6.61432,,4.51662
CUBE,CubeSmart,Real Estate,60.1,74.4,44.1,3.1927,3.78416,9.42871
CUDA,Barracuda Networks Inc,Information Technology,4.8,70,161.8,67.32697,,3.99039
CUZ,Cousins Properties Inc,Real Estate,72.4,19.8,16,1.36584,2.67559,7.19273
CVBF,CVB Financial Corp,Financials,42.4,80.5,23.5,2.51635,2.27735,8.46838
CVE,Cenovus Energy Inc,Energy,92.8,85.1,3.3,0.75182,1.63471,0.82347
CVG,Convergys Corp,Information Technology,89.2,42.6,18.5,1.65282,1.62075,0.80774
CVI,CVR Energy Inc,Energy,86.5,98.6,68.4,3.72149,6.12557,0.49316
CVLT,CommVault Systems Inc,Information Technology,1.5,8.5,1347.5,4.77982,,3.62091
CVRR,CVR Refining LP,Energy,100,98.3,17.3,1.33043,29.4902,0.34741
CVS,CVS Health Corp,Consumer Staples,90.9,25.1,15.5,2.22574,2.61097,0.43225
CVX,Chevron Corp,Energy,53.8,59.7,34.8,1.54047,3.63056,1.85714
CWH,Camping World Holdings Inc,Consumer Discretionary,57,90.6,22.5,7.2612,0.69025,0.27633
CX,Cemex SAB de CV,Materials,68.6,3.9,12.1,1.20539,,0.85883
CXO,Concho Resources Inc,Energy,37.2,90.3,37.7,2.40959,,8.87645
CXP,Columbia Property Trust Inc,Real Estate,83,53.3,13.5,1.06814,3.51339,8.38606
CXW,CoreCivic Inc,Real Estate,87.2,8.1,13.9,1.90492,7.1459,1.55085
CYBR,CyberArk Software Ltd,Information Technology,8.1,78,60.2,4.81587,,6.78666
CZZ,Cosan Ltd,Energy,90.5,66.6,42,1.19531,0.81598,0.61812
D,Dominion Energy Inc,Utilities,27.7,48.5,24.6,3.32799,3.661,4.27165
DAL,Delta Air Lines Inc,Industrials,85,63.9,10.6,2.69485,2.30537,0.94941
DAN,Dana Inc,Consumer Discretionary,80.1,96.5,6.8,4.02879,0.72639,0.70014
DAR,Darling Ingredients Inc,Consumer Staples,51,36.3,46.1,1.39241,,0.82062
DCI,Donaldson Co Inc.,Industrials,17.7,44.9,27.1,7.39755,1.44289,2.65513
DCP,DCP Midstream LP,Energy,85.2,56.2,50.2,0.71778,8.87877,0.73298
DCT,DCT Industrial Trust Inc,Real Estate,34.8,35.8,54.2,2.90991,2.39441,13.09183
DDS,Dillard's Inc.,Consumer Discretionary,93.5,24.6,15.1,1.08441,0.66556,0.2874
DE,Deere & Co,Industrials,44.2,92.7,22.4,5.03799,1.60149,1.63414
DEA,Easterly Government Properties Inc,Real Estate,63.3,45.1,211.8,1.42119,4.90798,6.71531
DECK,Deckers Outdoor Corp,Consumer Discretionary,54.8,76.7,73.4,2.47116,,1.31191
DEI,Douglas Emmett Inc,Real Estate,7.3,37.3,74.8,2.8047,2.28231,7.86447
DF,Dean Foods Co,Consumer Staples,71.9,31.7,33.5,1.6803,3.22581,0.12869
DFS,Discover Financial Services,Financials,96.1,82,12.1,2.43179,1.983,2.37922
DG,Dollar General Corp,Consumer Discretionary,66.1,84.6,19.9,4.23214,1.18074,1.0659
DGX,Quest Diagnostics Inc,Health Care,52.4,11.7,20.6,2.79319,1.82815,1.76052
DHI,D.R. Horton Inc.,Consumer Discretionary,65.4,97.1,18.5,2.46857,0.98039,1.35412
DHR,Danaher Corp,Health Care,27.6,67.2,27.9,2.58626,0.59347,3.6738
DHT,DHT Holdings Inc,Energy,78,36.4,12.6,0.58877,2.06718,1.31547
DIS,Walt Disney Co (The),Consumer Discretionary,48.4,37.5,18.6,3.80564,1.60275,2.99421
DISCA,Discovery Communications Inc,Consumer Discretionary,87.3,6.6,10.1,1.27905,,1.15583
DISCK,Discovery Communications Inc,Consumer Discretionary,87.5,6.9,10.1,1.27905,,1.15583
DISH,DISH Network Corp,Consumer Discretionary,36.2,8.6,23.9,4.25461,,1.61246
DK,Delek US Holdings Inc,Energy,87.8,95.2,53.8,1.82773,1.80614,0.38061
DKS,Dick's Sporting Goods Inc.,Consumer Discretionary,97.1,62.5,10.6,1.64151,2.30821,0.37872
DLB,Dolby Laboratories Inc,Information Technology,30.6,87.9,31.7,2.97275,1.02927,5.8614
DLR,Digital Realty Trust Inc,Real Estate,33.2,24.1,96.3,2.60083,3.18766,8.59204
DLTR,Dollar Tree Inc,Consumer Discretionary,56.6,92.2,24.4,3.98339,,1.13018
DO,Diamond Offshore Drilling Inc.,Energy,87.9,97.2,13.7,0.57852,,1.47163
DOC,Physicians Realty Trust,Real Estate,53.8,18.7,74.5,1.29975,5.14829,8.74297
DOV,Dover Corp,Industrials,49.3,73.1,22.5,3.56009,1.92406,2.00353
DOX,Amdocs Ltd,Information Technology,46,29.7,21.9,2.6553,1.34783,2.46434
DPLO,Diplomat Pharmacy Inc,Health Care,51.8,48.6,158.7,1.90194,,0.27071
DPS,Dr Pepper Snapple Group Inc,Consumer Staples,33.6,25.1,22.5,7.65238,2.57235,2.4837
DRE,Duke Realty Corp,Real Estate,40.6,17.6,37.1,2.12678,2.84394,11.52251
DRH,DiamondRock Hospitality Co,Real Estate,90.3,32.7,24.7,1.22306,4.46828,2.57344
DRI,Darden Restaurants Inc.,Consumer Discretionary,73.4,34.7,21.7,5.06538,2.98861,1.41903
DST,DST Systems Inc.,Information Technology,66.1,85.6,9.3,3.09296,1.15053,1.92711
DSW,DSW Inc,Consumer Discretionary,97.9,73,19.4,1.79867,3.75059,0.62102
DTE,DTE Energy Co,Utilities,48.2,35.1,21.1,2.2119,3.05443,1.69807
DUK,Duke Energy Corp,Utilities,50.6,33.5,23.3,1.49946,3.99193,2.763
DVA,DaVita Inc,Health Care,72,39.4,23,2.41495,,0.7722
DVN,Devon Energy Corp,Energy,77.8,87.1,13.3,2.83746,0.62289,1.58355
DX,Dynex Capital Inc.,Financials,90.1,27.7,5,0.94531,10.05587,4.31763
DXC,DXC Technology Company,Information Technology,35.9,67.1,162.2,2.25842,0.74891,1.28956
DY,Dycom Industries Inc.,Industrials,59.9,94.7,25.7,4.81675,,1.10538
EA,Electronic Arts Inc.,Information Technology,4.7,7.7,27.7,7.46486,,6.44484
EBAY,eBay Inc.,Information Technology,47,19.8,5.2,3.22333,,3.97357
EBIO,Eleven Biotherapeutics Inc,Health Care,93.1,0.2,3,0.62885,,0.54112
EBS,Emergent BioSolutions Inc,Health Care,35.5,78.2,26,2.73901,,3.47259
EC,Ecopetrol SA,Energy,96.8,90.3,17.1,1.51744,1.34242,1.33913
ECA,Encana Corp,Energy,78.2,91.1,15.2,1.6542,0.50676,2.84109
ECL,Ecolab Inc.,Materials,11.8,33,30.3,5.43721,1.08888,2.91162
ED,Consolidated Edison Inc.,Utilities,55.9,45.2,22.3,1.82773,3.09973,2.3169
EDR,Education Realty Trust Inc,Real Estate,21.7,17.5,78.8,1.49953,4.26579,8.43452
EDU,New Oriental Education & Technology Group Inc,Consumer Discretionary,1.8,39.8,45.8,7.35794,,6.94008
EEFT,Euronet Worldwide Inc,Information Technology,27.8,14.6,24.1,4.02062,,2.21184
EFII,Electronics for Imaging Inc,Information Technology,35.3,7.2,45.1,1.70354,,1.44348
EFX,Equifax Inc.,Industrials,14.2,3.2,25.7,4.41698,1.36698,4.12303
EGOV,NIC Inc,Information Technology,37.1,31.9,20.8,6.8069,1.92771,3.31537
EGRX,Eagle Pharmaceuticals Inc,Health Care,47.3,52.7,9.5,5.1511,,3.30452
EIX,Edison International,Utilities,52.7,31.3,18.4,2.13262,2.67011,2.2095
EL,Estee Lauder Companies Inc. (The),Consumer Staples,13.6,76.3,33.6,9.72368,1.21766,3.7513
ELF,e.l.f. Beauty Inc,Consumer Staples,3.6,49.3,59,6.10112,,3.83504
ELLI,Ellie Mae Inc,Information Technology,15.4,47.4,58.5,4.08728,,7.53972
ELP,Companhia Paranaense De Energia - Copel,Utilities,93.4,2.4,8.4,0.19454,8.56096,0.23108
ELS,Equity Lifestyle Properties Inc,Real Estate,26.1,31,43.2,8.30265,2.15923,8.58062
ELY,Callaway Golf Co,Consumer Discretionary,86.5,38.7,7.4,2.06896,0.27567,1.33934
EME,EMCOR Group Inc.,Industrials,77.3,86.5,22.1,2.93742,0.39619,0.62816
EMN,Eastman Chemical Co,Materials,78.6,49.7,13.4,2.64226,2.20851,1.43045
EMR,Emerson Electric Co.,Industrials,38.3,57,25.5,4.7711,2.9929,2.72922
ENB,Enbridge Inc,Energy,42.9,16.6,19.6,1.55067,5.53243,1.78535
ENIA,Enel Americas SA,Utilities,58.8,12.2,27.6,1.70991,2.5455,1.17289
ENLC,Enlink Midstream LLC,Energy,56.7,24.7,415.6,1.71207,2.64192,0.57856
ENR,Energizer Holdings Inc,Consumer Staples,61.8,38.5,14.1,32.7652,2.52558,1.61062
ENTG,Entegris Inc,Information Technology,28.7,81,30.4,4.20936,0.92409,3.29855
ENVA,Enova International Inc,Financials,96,89,16,1.81617,,0.62004
EOG,EOG Resources Inc.,Energy,6,83,10281,4.24898,0.65481,5.84622
EPC,Edgewell Personal Care Co,Consumer Staples,16.2,2.4,584,1.86512,,1.43604
EPD,Enterprise Products Partners LP,Energy,48.3,17.2,20.1,2.37437,6.86155,1.92995
EPR,EPR Properties,Real Estate,76.9,22.2,20.1,1.7298,6.01592,8.37824
EQC,Equity Commonwealth,Real Estate,26.7,21.8,68.4,1.1641,,9.47396
EQIX,Equinix Inc,Real Estate,1.6,25.3,152.2,5.55453,1.72232,8.6297
EQR,Equity Residential,Real Estate,22.1,26.2,32.5,2.40206,3.01556,10.01155
EQT,EQT Corp,Energy,5.8,19.3,284.8,1.69708,0.20134,3.92842
ERF,Enerplus Corp,Energy,57.4,34.4,2.2,1.74832,1.02389,3.26426
ERII,Energy Recovery Inc,Industrials,3.8,99.7,156.3,8.81582,,10.25027
ERJ,Embraer SA,Industrials,73.5,5.8,8.6,0.86551,1.46088,0.573
EROS,Eros International PLC,Consumer Discretionary,75,92.6,415,0.93863,,3.26948
ES,Eversource Energy,Utilities,46.8,35.2,21.3,1.86852,2.92984,2.69224
ESNT,Essent Group Ltd,Financials,52.6,67.5,15,2.44597,,7.72511
ESRT,Empire State Realty Trust Inc,Real Estate,47.4,27,50.6,2.80538,2.06897,4.52588
ESRX,Express Scripts Holding Co,Health Care,89.6,38,10.7,2.31948,,0.38352
ESS,Essex Property Trust Inc.,Real Estate,39,14.5,30.9,2.60184,2.83412,11.41059
ETFC,E*TRADE Financial Corporation,Financials,75.4,77.5,22.8,2.08362,,5.66906
ETH,Ethan Allen Interiors Inc,Consumer Discretionary,73.9,28.5,25.3,2.00859,2.58503,1.07897
ETM,Entercom Communications Corp.,Consumer Discretionary,86.7,65.3,44.7,1.2339,3.10345,1.00284
ETN,Eaton Corp Plc,Industrials,83.3,53.1,12.2,2.06532,3.08563,1.72764
ETSY,Etsy Inc,Information Technology,1.7,28.9,141,5.72279,,4.6696
EURN,Euronav,Energy,73,65,41.5,0.74029,3.27485,2.47219
EV,Eaton Vance Corp.,Financials,27.2,75.1,22.8,6.47802,2.24313,4.20984
EVC,Entravision Communications Corp.,Consumer Discretionary,98.6,91.2,4,1.86541,2.83688,1.19517
EVR,Evercore Inc,Financials,72.2,72.9,20.5,7.04841,1.84226,2.10811
EVTC,EVERTEC Inc,Information Technology,57,2.2,15.5,7.51427,2.8777,2.46112
EW,Edwards Lifesciences Corp,Health Care,2.9,36.1,33.7,7.84137,,7.46701
EWBC,East West Bancorp Inc.,Financials,43.9,61.2,16.8,2.35152,1.29997,6.12278
EXC,Exelon Corp,Utilities,81,58.4,18.6,1.42623,3.14073,1.19077
EXEL,Exelixis Inc,Health Care,5.8,14,57.7,33.54453,,19.34727
EXK,Endeavour Silver Corp,Materials,16.4,5.9,213,1.86957,,1.94371
EXP,Eagle Materials Inc,Materials,28.2,72.9,25.7,4.14611,0.35737,4.10244
EXPD,Expeditors International of Washington Inc.,Industrials,33.5,73.6,27.1,5.81509,1.2967,1.74305
EXPE,Expedia Inc,Consumer Discretionary,21.8,4.9,47.6,4.05152,0.97959,1.88418
EXPR,Express Inc,Consumer Discretionary,94.4,98.6,64.6,1.20121,,0.36102
EXR,Extra Space Storage Inc,Real Estate,52.9,57.6,31.3,4.85538,3.65511,9.67389
EXTR,Extreme Networks Inc,Information Technology,7.3,64.9,637.7,10.75016,,2.06757
EZPW,EZCORP Inc,Financials,92.5,94.7,19.6,0.98961,,0.87506
F,Ford Motor Co,Consumer Discretionary,99.6,68.5,11.4,1.49628,4.79233,0.32295
FAF,First American Financial Corp,Financials,95.8,67.7,21.8,1.87022,2.7343,1.05997
FANG,Diamondback Energy Inc,Energy,12.9,83.1,27,2.1906,,10.60548
FAST,Fastenal Co,Industrials,30.1,87.3,27.6,7.43029,2.44321,3.55574
FB,Facebook Inc,Information Technology,3,35.6,34,7.23072,,14.07996
FBHS,Fortune Brands Home & Security Inc,Industrials,37.7,56.1,23.5,4.08215,1.05232,2.01571
FBP,First BanCorp (Puerto Rico),Financials,77.9,7.9,16.6,0.59228,,1.65252
FBR,Fibria Celulose SA,Materials,43.3,44.6,33.5,1.674,1.51269,2.40176
FCAU,Fiat Chrysler Automobiles NV,Consumer Discretionary,97.8,66.9,7.5,1.0962,,0.21389
FCE/A,Forest City Realty Trust Inc,Real Estate,51.9,27.3,53.4,1.89353,2.3382,6.22914
FCF,First Commonwealth Financial Corp.,Financials,60.3,81.9,20.4,1.64585,2.11921,4.47671
FCN,FTI Consulting Inc.,Industrials,81.8,90.9,35.3,1.44292,,0.97045
FCX,Freeport-McMoRan Inc,Materials,73.9,16.4,19.6,2.8906,,1.27955
FDC,First Data Corp.,Information Technology,35.7,9.9,21.4,7.24072,,1.27608
FDS,FactSet Research Systems Inc.,Financials,14.7,91.3,30.9,13.93611,1.12067,6.43843
FDX,FedEx Corp.,Industrials,45.7,51.9,21.8,3.73484,0.86408,1.01484
FENG,Phoenix New Media Ltd,Information Technology,38.1,98.1,54.4,1.29511,,2.18127
FFBC,First Financial Bancorp.,Financials,73.3,79.9,18.3,1.92297,2.39859,4.4232
FFIV,F5 Networks Inc,Information Technology,40.7,64.8,20.4,6.83274,,4.09393
FHN,First Horizon National Corp,Financials,53.6,65.5,17.3,1.82217,1.85663,3.20016
FIG,Fortress Investment Group LLC,Financials,73.7,24.4,10.3,2.70533,,1.46486
FII,Federated Investors Inc.,Financials,80.5,87.5,16.1,5.17949,2.97974,3.05903
FINL,Finish Line Inc (The),Consumer Discretionary,98.9,92.9,33.8,0.95704,4.07785,0.23787
FIS,Fidelity National Information Services Inc,Information Technology,17.5,31.9,57.6,3.14591,1.22973,3.37403
FISV,Fiserv Inc.,Information Technology,8.3,46.8,30.9,11.67947,,4.96657
FITB,Fifth Third Bancorp,Financials,87.7,76.5,11.5,1.43217,2.09767,3.38958
FIVE,Five Below Inc,Consumer Discretionary,36.5,93.2,39.5,8.94591,,2.93183
FIZZ,National Beverage Corp,Consumer Staples,1.3,16.2,41.7,23.83012,,5.84409
FL,Foot Locker Inc.,Consumer Discretionary,92.4,85,10.9,2.11378,2.89449,0.73164
FLEX,Flex Ltd,Information Technology,67.7,61,17.6,3.32757,,0.39659
FLIR,FLIR Systems Inc,Information Technology,33,86.8,29.2,3.41215,1.28811,3.58645
FLO,Flowers Foods Inc.,Consumer Staples,61,72.7,50,3.51342,3.4034,1.06716
FLR,Fluor Corp,Industrials,90.3,89.9,34,2.06275,1.73518,0.34712
FLS,Flowserve Corp.,Industrials,33.2,53.1,32.9,3.17252,1.78488,1.49875
FLT,FleetCor Technologies Inc,Information Technology,15.7,90.7,31,4.74814,,7.71403
FMBI,First Midwest Bancorp Inc,Financials,48,80,20.9,1.37522,1.60192,3.77356
FMC,FMC Corp.,Materials,5.6,56.3,63.8,5.97761,0.69915,4.57627
FMSA,Fairmount Santrol Holdings Inc,Energy,73.9,99.1,80.7,3.65462,,1.30608
FN,Fabrinet,Information Technology,55.6,4.3,12.5,1.69468,,0.82303
FNB,F.N.B. Corp,Financials,60.5,62.6,17.7,1.05974,3.38266,3.72309
FND,Floor & Decor Holdings Inc,Consumer Discretionary,5.1,66.7,56.1,9.90096,,2.90531
FNF,Fidelity National Financial Inc FNF Group,Financials,95.4,75.2,19.1,2.09712,2.6693,1.2061
FNGN,Financial Engines Inc,Financials,38.3,6,36.7,2.08909,1.00358,3.74619
FNSR,Finisar Corp,Information Technology,58.4,5,9.2,1.41401,,1.54335
FNV,Franco-Nevada Corp,Materials,2,25.3,101,3.23159,1.1337,22.28883
FOE,Ferro Corp.,Materials,21.1,93.9,47.7,6.31007,,1.63034
FOR,Forestar Group Inc,Real Estate,80,92.8,13.1,1.48098,,6.28946
FORM,FormFactor Inc,Information Technology,50.2,54,59.6,2.6311,,2.18417
FOX,Twenty-First Century Fox Inc,Consumer Discretionary,61.8,72.3,20,3.62916,1.1557,2.03929
FOXA,Twenty-First Century Fox Inc,Consumer Discretionary,61.4,74.3,20,3.62916,1.12711,2.03929
FOXF,Fox Factory Holding Corp,Consumer Discretionary,5,22.3,30,6.34534,,3.11823
FR,First Industrial Realty Trust Inc.,Real Estate,24.5,42.9,30.3,2.89284,2.58065,9.83511
FRAN,Francescas Holdings Corp,Consumer Discretionary,89.9,33.8,7.6,2.35888,,0.56131
FRC,First Republic Bank,Financials,22,23.8,22.6,2.3437,0.71174,5.4157
FRO,Frontline Ltd,Energy,66.5,51.4,264,0.62054,11.42857,1.37995
FRT,Federal Realty Investment Trust,Real Estate,14.5,38.9,32.4,4.68087,3.02549,11.4059
FSIC,FS Investment Corp,Financials,92.1,29,9,0.85914,9.38272,4.75189
FSM,Fortuna Silver Mines Inc,Materials,49,7.3,17.6,1.26604,,2.618
FTI,TechnipFMC plc,Energy,30.2,60.5,139.6,0.97418,0.45391,1.03816
FTNT,Fortinet Inc,Information Technology,6.6,58.2,87.6,8.14068,,5.09942
FTV,Fortive Corp,Industrials,13.4,72.1,28.2,7.46672,0.37508,3.9968
FUL,H.B. Fuller Co.,Materials,44.4,65.7,27.2,2.7567,1.06063,1.29161
FULT,Fulton Financial Corp,Financials,68.8,55,18.3,1.49434,2.31579,3.89954
G,Genpact Ltd,Information Technology,34.5,67.8,23.4,4.73497,0.74442,2.33436
GBCI,Glacier Bancorp Inc,Financials,32.7,85.2,23.1,2.5901,2.09738,6.46996
GBX,Greenbrier Companies Inc. (The),Industrials,98.4,75.9,13.5,1.39977,1.84,0.65563
GCAP,GAIN Capital Holdings Inc,Financials,97,82,26.1,1.17889,3.17881,1.00094
GCI,Gannett Co Inc,Consumer Discretionary,98.2,95.6,29.1,1.48277,5.58464,0.40981
GCO,Genesco Inc.,Consumer Discretionary,95.1,97.9,7.2,0.67757,,0.21591
GD,General Dynamics Corp,Industrials,33,35,20.1,5.34888,1.62193,2.01297
GDDY,GoDaddy Inc,Information Technology,7.3,53.7,370.9,15.53686,,2.39245
GDOT,Green Dot Corp,Financials,22.6,91.9,44.7,4.23062,,3.69838
GE,General Electric Co,Industrials,38.4,2,20.9,2.08429,2.62438,1.31835
GEL,Genesis Energy LP,Energy,42.5,3.4,31.6,1.26686,9.31532,1.50145
GEO,GEO Group Inc (The),Real Estate,47.8,20.1,19.1,2.70995,7.08365,1.42063
GFI,Gold Fields Ltd,Materials,29.1,17.9,32.1,1.04864,1.80551,
GG,Goldcorp Inc.,Materials,36.5,13,21.2,0.78518,0.63291,3.1358
GGAL,"Grupo Financiero Galicia Sa, Buenos Aires",Financials,55.8,89.6,18,4.0624,0.20757,2.06865
GGP,GGP Inc,Real Estate,67.3,67.6,33.1,2.54859,3.74468,7.97823
GHL,Greenhill & Co Inc,Financials,84.2,95.6,27.3,2.13739,0.98522,2.20675
GIII,G III Apparel Group Ltd,Consumer Discretionary,40.8,63.4,43.8,1.4693,,0.57902
GIL,Gildan Activewear Inc,Consumer Discretionary,43.5,31.4,18.9,3.38433,1.17832,2.66584
GILD,Gilead Sciences Inc,Health Care,70.6,9.8,8.6,3.93389,2.78149,3.5583
GIS,General Mills Inc.,Consumer Staples,54.3,46.4,20.2,8.23234,3.46535,2.10203
GLOG,GasLog Ltd,Energy,36.1,49.5,51.3,1.57691,3.11111,2.81197
GLPI,Gaming and Leisure Properties Inc,Real Estate,35.9,14.3,20.1,3.09724,6.93833,7.85832
GLW,Corning Inc,Information Technology,77.1,65.4,13.5,1.87434,1.91417,2.94211
GM,General Motors Co,Consumer Discretionary,95.4,78.9,9.2,1.42807,3.5275,0.41872
GME,GameStop Corp.,Consumer Discretionary,94.7,31.3,5.5,0.82093,8.10667,0.21648
GMED,Globus Medical Inc,Health Care,18.8,90.1,33.8,3.91644,,5.97721
GMS,GMS Inc,Industrials,63.4,74.6,28.2,2.88133,,0.63367
GNRC,Generac Holdings Inc,Industrials,45.5,85.4,25.6,6.46016,,1.91729
GNTX,Gentex Corp,Consumer Discretionary,81.5,63.7,16.1,2.86948,1.95313,3.33841
GNW,Genworth Financial Inc,Financials,97.6,24.5,4.9,0.12946,,0.19203
GOLD,Randgold Resources Ltd,Materials,15.5,10,30.9,2.38058,1.0898,6.59486
GOLF,Acushnet Holdings Corp,Consumer Discretionary,81.2,84,18.4,1.82489,2.4157,0.96033
GOOG,Alphabet Inc,Information Technology,7.9,54.4,34.3,4.58256,,6.86283
GOOGL,Alphabet Inc,Information Technology,7.7,53.4,34.3,4.58256,,6.86283
GORO,Gold Resource Corp,Materials,25.3,26.9,36,1.92392,0.50251,2.37627
GOV,Government Properties Income Trust,Real Estate,75.6,28.7,34.7,1.34231,9.22252,4.75111
GPC,Genuine Parts Co,Consumer Discretionary,71.2,64.2,20.8,4.03483,2.90416,0.86235
GPK,Graphic Packaging Holding Co,Materials,71,77.4,29.6,4.18252,1.9595,1.09489
GPL,Great Panther Silver Ltd,Materials,3.2,5.6,114.5,2.35904,,3.30475
GPRE,Green Plains Inc,Energy,77.8,11.6,17.7,0.77246,2.84866,0.18647
GPS,Gap Inc,Consumer Discretionary,94.7,96.4,14.8,4.15628,2.84742,0.82098
GPT,Gramercy Property Trust,Real Estate,54.2,15.8,63.4,1.48483,5.25947,7.33947
GRA,Grace (W R) & Co,Materials,11.3,34.2,32.8,12.64276,1.14582,2.94305
GRFS,Grifols S.A.,Health Care,27.9,58.5,25.2,3.80605,1.65124,3.36138
GRMN,Garmin Ltd,Consumer Discretionary,64.5,83.4,16.7,3.19808,3.28608,3.81458
GRUB,GrubHub Inc,Information Technology,4.3,79.7,99,5.55376,,9.45421
GS,Goldman Sachs Group Inc (The),Financials,48.1,60.1,12.9,1.2984,1.21144,2.39812
GSK,Glaxosmithkline PLC,Health Care,28.5,7.5,28.6,49.18697,5.89351,2.20859
